asset,exchange,timestamp,open,high,low,close,volume
TCS,NSE,2026-07-21 06:30:00+00:00,2228.3,2230.0,2227.1,2227.8,40307
TCS,NSE,2026-07-21 06:45:00+00:00,2227.8,2228.4,2221.0,2222.0,64910
TCS,NSE,2026-07-21 07:00:00+00:00,2222.0,2224.0,2219.0,2219.6,72694
TCS,NSE,2026-07-21 07:15:00+00:00,2219.6,2222.8,2219.0,2220.8,44288
TCS,NSE,2026-07-21 07:30:00+00:00,2221.6,2223.0,2220.0,2220.8,43867
TCS,NSE,2026-07-21 07:45:00+00:00,2220.8,2223.5,2219.0,2222.1,46553
TCS,NSE,2026-07-21 08:00:00+00:00,2222.5,2228.3,2221.7,2226.8,60731
TCS,NSE,2026-07-21 08:15:00+00:00,2226.8,2228.9,2225.4,2226.0,66284
TCS,NSE,2026-07-21 08:30:00+00:00,2226.0,2229.0,2223.5,2226.8,55253
TCS,NSE,2026-07-21 08:45:00+00:00,2226.8,2228.5,2224.4,2226.0,84580
TCS,NSE,2026-07-21 09:00:00+00:00,2226.0,2227.5,2221.5,2225.7,101661
TCS,NSE,2026-07-21 09:15:00+00:00,2225.7,2227.9,2222.0,2227.3,95417
TCS,NSE,2026-07-21 09:30:00+00:00,2227.3,2227.5,2219.0,2221.0,163676
TCS,NSE,2026-07-21 09:45:00+00:00,2220.8,2221.7,2218.5,2219.0,218056
TCS,NSE,2026-07-22 03:45:00+00:00,2216.0,2222.0,2202.0,2211.7,205210
TCS,NSE,2026-07-22 04:00:00+00:00,2212.1,2215.2,2210.8,2212.2,71624
TCS,NSE,2026-07-22 04:15:00+00:00,2213.0,2216.5,2207.6,2213.5,47176
TCS,NSE,2026-07-22 04:30:00+00:00,2214.0,2221.4,2210.0,2214.5,59675
TCS,NSE,2026-07-22 04:45:00+00:00,2215.0,2215.1,2201.1,2206.9,111342
TCS,NSE,2026-07-22 05:00:00+00:00,2207.4,2207.6,2201.0,2203.0,50829
TCS,NSE,2026-07-22 05:15:00+00:00,2203.0,2218.4,2202.0,2217.1,122836
TCS,NSE,2026-07-22 05:30:00+00:00,2217.1,2219.0,2212.0,2213.2,170083
TCS,NSE,2026-07-22 05:45:00+00:00,2213.5,2221.1,2212.0,2220.4,49958
TCS,NSE,2026-07-22 06:00:00+00:00,2220.4,2226.8,2218.7,2225.0,59909
TCS,NSE,2026-07-22 06:15:00+00:00,2225.0,2226.8,2220.0,2222.4,34865
TCS,NSE,2026-07-22 06:30:00+00:00,2222.7,2223.0,2219.3,2220.6,29102
TCS,NSE,2026-07-22 06:45:00+00:00,2220.9,2224.0,2214.0,2215.6,41884
TCS,NSE,2026-07-22 07:00:00+00:00,2215.5,2216.5,2210.1,2210.8,31649
TCS,NSE,2026-07-22 07:15:00+00:00,2211.0,2213.0,2205.4,2206.5,36827
TCS,NSE,2026-07-22 07:30:00+00:00,2206.5,2207.0,2204.0,2204.7,24477
